,Reaction 1,Reaction2
619,HMR_8410,HMR_1062
620,HMR_8410,HMR_2014
621,HMR_8410,HMR_2469
622,HMR_8410,HMR_1366
623,HMR_8410,HMR_1065
624,HMR_8410,HMR_2463
625,HMR_8410,HMR_2548
626,HMR_6674,HMR_8410
627,HMR_8410,HMR_0986
628,HMR_8410,HMR_1073
629,HMR_2587,HMR_8410
630,HMR_1383,HMR_8410
631,HMR_8410,HMR_2579
632,HMR_2015,HMR_8410
633,HMR_1011,HMR_8410
634,HMR_1105,HMR_8410
635,HMR_0994,HMR_8410
636,HMR_8410,HMR_2580
637,HMR_2588,HMR_8410
638,HMR_1944,HMR_8410
639,HMR_0985,HMR_8410
640,HMR_2568,HMR_8410
641,HMR_8410,HMR_2576
642,HMR_1061,HMR_8410
643,HMR_8410,arachidonates
644,HMR_8410,HMR_2459
645,HMR_8410,HMR_1017
646,HMR_2572,HMR_8410
647,HMR_8410,HMR_1996
648,HMR_8410,HMR_0956
649,HMR_8410,HMR_0933
650,HMR_1398,HMR_8410
651,HMR_8410,HMR_1313
652,HMR_8410,HMR_1987
653,HMR_8559,HMR_8410
654,HMR_1069,HMR_8410
655,HMR_1023,HMR_8410
656,HMR_2439,HMR_8410
657,HMR_2460,HMR_8410
658,HMR_1041,HMR_8410
659,HMR_8410,HMR_1054
660,HMR_0940,HMR_8410
661,HMR_8410,HMR_2464
662,HMR_1057,HMR_8410
663,HMR_8410,HMR_1382
664,HMR_8410,HMR_1230
665,HMR_8410,HMR_0948
666,HMR_1068,HMR_8410
667,HMR_8410,HMR_1328
668,HMR_8410,HMR_1370
669,HMR_8410,HMR_1055
670,HMR_8410,HMR_1007
671,HMR_8410,RE3335R
672,HMR_0991,HMR_8410
673,HMR_1260,HMR_8410
674,HMR_8410,HMR_1113
675,HMR_8410,HMR_1350
676,HMR_8410,HMR_1040
677,HMR_8410,HMR_2000
678,HMR_1027,HMR_8410
679,HMR_1108,HMR_8410
680,HMR_8410,HMR_1342
681,HMR_1059,HMR_8410
682,HMR_0953,HMR_8410
683,HMR_8410,HMR_1967
684,HMR_8410,HMR_1071
685,RE3446M,HMR_8410
686,HMR_8410,HMR_1066
687,HMR_1120,HMR_8410
688,HMR_1391,HMR_8410
689,HMR_2545,HMR_8410
690,HMR_8410,HMR_6633
691,HMR_8410,HMR_0945
692,HMR_1999,HMR_8410
693,HMR_1317,HMR_8410
694,HMR_8410,HMR_1202
695,HMR_0943,HMR_8410
696,HMR_8410,CATr
697,HMR_1003,HMR_8410
698,HMR_8410,HMR_2573
699,HMR_1006,HMR_8410
700,HMR_0971,HMR_8410
701,HMR_8410,HMR_2001
702,HMR_8410,HMR_0949
703,HMR_8410,HMR_2455
704,HMR_8410,HMR_2574
705,HMR_2566,HMR_8410
706,HMR_1072,HMR_8410
707,HMR_8410,HMR_0938
708,HMR_8410,HMR_1039
709,HMR_8410,HMR_2555
710,HMR_8410,HMR_1122
711,HMR_1124,HMR_8410
712,HMR_8410,HMR_1155
713,HMR_8410,HMR_1064
714,HMR_8410,HMR_0934
715,HMR_8410,HMR_1387
716,HMR_8410,HMR_1329
717,HMR_1025,HMR_8410
718,HMR_8410,HMR_1257
719,HMR_8410,HMR_1058
720,HMR_8410,HMR_2553
721,HMR_8410,HMR_1028
722,HMR_1112,HMR_8410
723,HMR_1365,HMR_8410
724,HMR_0936,HMR_8410
725,HMR_1146,HMR_8410
726,HMR_8410,HMR_1390
727,HMR_8410,HMR_1114
728,HMR_8410,HMR_2550
729,HMR_1321,HMR_8410
730,HMR_8410,HMR_1004
731,HMR_8410,HMR_2468
732,HMR_1191,HMR_8410
733,HMR_8410,HMR_1026
734,HMR_8410,HMR_1137
735,HMR_8410,HMR_0957
736,HMR_8410,HMR_2440
737,HMR_1008,HMR_8410
738,HMR_8410,HMR_1014
739,HMR_1117,HMR_8410
740,HMR_0932,HMR_8410
741,HMR_0931,HMR_8410
742,HMR_8410,HMR_1087
743,HMR_8410,HMR_2456
744,HMR_8410,HMR_2546
745,HMR_8410,HMR_2556
746,HMR_0937,HMR_8410
747,HMR_8410,HMR_2563
748,HMR_8410,HMR_8711
749,HMR_8410,HMR_2994
750,HMR_8410,HMR_6676
751,RE3452C,HMR_8410
752,HMR_2470,HMR_8410
753,HMR_8410,HMR_8546
754,HMR_6605,HMR_8410
755,HMR_0944,HMR_8410
756,HMR_8410,HMR_0939
757,HMR_1156,HMR_8410
758,HMR_2467,HMR_8410
759,HMR_8410,HMR_0947
760,HMR_1125,HMR_8410
761,HMR_8136,HMR_4332
